sigla_uf,id_municipio,municipio,tecnologia,capacidade_backhaul
PA,1502764,Cumaru do Norte,Satelite,0
PA,1502855,Curuá,Radio,8
PA,1503002,Faro,Satelite,8
PA,1503044,Floresta do Araguaia,Satelite,0
PA,1503093,Goianésia do Pará,Satelite,4
PA,1503101,Gurupá,Satelite,0
PA,1503606,Itaituba,Satelite,0
PA,1503754,Jacareacanga,Satelite,8
PA,1503804,Jacundá,Satelite,32
PA,1503903,Juruti,Satelite,8
PA,1504455,Medicilândia,Satelite,4
PA,1504505,Melgaço,Satelite,0
PA,1504604,Mocajuba,Satelite,0
PA,1504802,Monte Alegre,Satelite,8
PA,1504950,Nova Esperança do Piriá,Satelite,4
PA,1504976,Nova Ipixuna,Radio,8
PA,1505031,Novo Progresso,Satelite,0
PA,1505064,Novo Repartimento,Satelite,0
PA,1505106,Óbidos,Satelite,0
PA,1505205,Oeiras do Pará,Satelite,0
PA,1505304,Oriximiná,Satelite,0
PA,1505437,Ourilândia do Norte,Fibra,16
PA,1505486,Pacajá,Satelite,32
PA,1505494,Palestina do Pará,Satelite,2
PA,1505635,Piçarra,Satelite,0
PA,1505650,Placas,Satelite,4
PA,1505809,Portel,Satelite,0
PA,1505908,Porto de Moz,Satelite,4
PA,1506138,Redenção,Satelite,0
PA,1506187,Rondon do Pará,Fibra,32
PA,1506195,Rurópolis,Satelite,4
PA,1506583,Santa Maria das Barreiras,Satelite,2
PA,1506708,Santana do Araguaia,Satelite,0
PA,1507151,São Domingos do Araguaia,Radio,64
PA,1507805,Senador José Porfírio,Satelite,0
PA,1507953,Tailândia,Fibra,64
PA,1507979,Terra Santa,Fibra,8
PA,1508001,Tomé-Açu,Radio,64
PA,1508050,Trairão,Satelite,2
PA,1508084,Tucumã,Satelite,0
PA,1508357,Vitória do Xingu,Satelite,32
PA,1508407,Xinguara,Fibra,32
AP,1600105,Amapá,Satelite,2
AP,1600204,Calçoene,Satelite,0
AP,1600279,Laranjal do Jari,Satelite,32
AP,1600501,Oiapoque,Fibra,16
AP,1600550,Pracuúba,Satelite,0
AP,1600808,Vitória do Jari,Satelite,0
SP,3500204,Adolfo,Radio + Fibra + SDH-NG,8
SP,3500550,Águas de Santa Bárbara,Fibra + SDH-NG,8
SP,3500758,Alambari,Fibra + SDH-NG,8
SP,3500808,Alfredo Marcondes,Fibra + SDH-NG,8
SP,3500907,Altair,Radio + Fibra + SDH-NG,8
SP,3501103,Alto Alegre,Fibra + SDH-NG,8
SP,3501202,Álvares Florence,Radio + Fibra + SDH-NG,8
SP,3501400,Álvaro de Carvalho,Fibra + SDH-NG,8
SP,3501509,Alvinlândia,Radio + Fibra + SDH-NG,8
SP,3501806,Américo de Campos,Radio + Fibra + SDH-NG,8
SP,3502002,Analândia,Radio + Fibra + SDH-NG,8
SP,3502309,Anhembi,Radio + Fibra + SDH-NG,8
SP,3502408,Anhumas,Fibra + SDH-NG,8
SP,3502606,Aparecida d'Oeste,Fibra + SDH-NG,8
SP,3503109,Arandu,Fibra + SDH-NG,8
SP,3503158,Arapeí,Radio + Fibra + SDH-NG,8
SP,3503356,Arco-Íris,Radio + Fibra + SDH-NG,8
SP,3503505,Areias,Radio + Fibra + SDH-NG,8
SP,3503703,Ariranha,Fibra + SDH-NG,8
SP,3503950,Aspásia,Fibra + SDH-NG,8
SP,3504305,Avaí,Fibra + SDH-NG,8
SP,3504701,Balbinos,Fibra + SDH-NG,8
SP,3504800,Bálsamo,Fibra + SDH-NG,8
SP,3504909,Bananal,Radio + SDH-NG,8
SP,3505005,Barão de Antonina,Radio + Fibra + SDH-NG,8
SP,3505104,Barbosa,Radio + Fibra + SDH-NG,8
SP,3505351,Barra do Chapéu,Radio + Fibra + SDH-NG,8
SP,3505401,Barra do Turvo,Radio + Fibra + SDH-NG,8
SP,3506201,Bento de Abreu,Fibra + SDH-NG,8
SP,3506904,Bofete,Radio + Fibra + SDH-NG,8
SP,3507159,Bom Sucesso de Itararé,Fibra + SDH-NG,8
SP,3507209,Borá,Fibra + SDH-NG,8
SP,3507308,Boracéia,Radio + Fibra + SDH-NG,8
SP,3507456,Borebi,Fibra + SDH-NG,8
SP,3507704,Braúna,Fibra + SDH-NG,8
SP,3507753,Brejo Alegre,Radio + Fibra + SDH-NG,8
SP,3508306,Cabrália Paulista,Radio + Fibra + SDH-NG,8
SP,3508900,Caiabu,Radio + Fibra + SDH-NG,8
SP,3509106,Caiuá,Fibra + SDH-NG,8
